"Pressure","Altitude","Temperature","Dew_point","Wind_direction","Wind_speed","WMO_ID"
986.3,304,3,-4.2,2,7.4,"11520"
985.2,313,3,-3.3,7,4.7,"11520"
984.5,319,2.7,-3.5,12,3.7,"11520"
983.6,326,2.6,-3.6,16,3.5,"11520"
982.6,334,2.5,-3.7,17,3.9,"11520"
981.6,343,2.3,-3.8,18,4.1,"11520"
980.7,350,2.2,-3.9,19,4.5,"11520"
979.8,358,2.2,-3.9,19,4.7,"11520"
978.9,365,2.1,-4,20,4.9,"11520"
978.1,371,2,-4.1,21,5.1,"11520"
977.5,377,1.9,-4.1,21,5.2,"11520"
976.8,382,1.8,-4.2,22,5.2,"11520"
976.3,386,1.7,-4.3,22,5.4,"11520"
975.8,391,1.6,-4.4,22,5.6,"11520"
975.2,395,1.5,-4.4,22,5.6,"11520"
974.7,399,1.5,-4.5,23,5.6,"11520"
974.2,404,1.5,-4.5,23,5.8,"11520"
973.7,408,1.4,-4.5,23,5.8,"11520"
973.2,412,1.4,-4.7,23,5.8,"11520"
972.6,417,1.3,-4.7,23,5.6,"11520"
972,422,1.3,-4.6,23,5.6,"11520"
971.4,427,1.2,-4.4,23,5.6,"11520"
970.7,433,1.2,-4.4,23,5.6,"11520"
970,438,1.1,-4.3,23,5.4,"11520"
969.4,443,1.1,-4.4,23,5.4,"11520"
968.8,448,1,-4.4,23,5.4,"11520"
968.2,453,1,-4.4,24,5.2,"11520"
967.6,458,1,-4.4,24,5.2,"11520"
967,464,0.9,-4.4,25,5.1,"11520"
966.4,469,0.8,-4.5,25,5.1,"11520"
965.8,473,0.8,-4.6,26,5.1,"11520"
965.3,477,0.7,-4.6,27,5.1,"11520"
964.9,481,0.7,-4.6,28,5.1,"11520"
964.4,485,0.7,-4.5,28,5.1,"11520"
963.9,489,0.6,-4.5,29,5.1,"11520"
963.4,493,0.6,-4.6,30,5.1,"11520"
962.9,498,0.5,-4.7,31,5.1,"11520"
962.3,502,0.5,-4.8,31,5.1,"11520"
961.7,508,0.4,-4.8,32,5.2,"11520"
961.1,513,0.4,-4.9,32,5.2,"11520"
960.4,518,0.3,-5,33,5.2,"11520"
959.9,522,0.3,-5,33,5.4,"11520"
959.5,526,0.3,-5.1,33,5.4,"11520"
959.1,529,0.2,-5.2,33,5.6,"11520"
958.7,533,0.2,-5.1,33,5.6,"11520"
958.2,536,0.2,-5.1,33,5.8,"11520"
957.8,540,0.1,-5.2,33,5.8,"11520"
957.2,545,0.1,-5.2,33,6,"11520"
956.6,550,0,-5.2,32,6,"11520"
956,555,0,-5.2,32,6,"11520"
955.4,560,-0.1,-5.2,31,6.2,"11520"
954.9,565,-0.1,-5.3,31,6.2,"11520"
954.4,569,-0.1,-5.4,30,6.2,"11520"
954,572,-0.2,-5.5,30,6.4,"11520"
953.5,576,-0.2,-5.6,29,6.4,"11520"
953.1,580,-0.2,-5.5,28,6.4,"11520"
952.5,584,-0.3,-5.4,28,6.4,"11520"
951.9,589,-0.4,-5.3,27,6.4,"11520"
951.3,594,-0.4,-5.3,27,6.4,"11520"
950.8,599,-0.4,-5.4,26,6.4,"11520"
950.3,603,-0.5,-5.5,26,6.4,"11520"
949.8,608,-0.5,-5.6,25,6.4,"11520"
949.2,612,-0.6,-5.6,25,6.4,"11520"
948.6,617,-0.6,-5.6,25,6.2,"11520"
948.1,622,-0.7,-5.7,25,6.2,"11520"
947.5,627,-0.7,-5.7,25,6.2,"11520"
946.9,632,-0.8,-5.8,25,6.2,"11520"
946.3,636,-0.8,-5.8,25,6,"11520"
945.7,641,-0.9,-5.8,25,6,"11520"
945.1,647,-0.9,-5.7,25,6,"11520"
944.4,653,-1,-5.8,26,5.8,"11520"
943.7,659,-1,-5.8,26,5.8,"11520"
943,665,-1.1,-5.8,27,5.6,"11520"
942.4,670,-1.1,-5.8,28,5.6,"11520"
941.9,674,-1.2,-5.7,29,5.4,"11520"
941.4,678,-1.2,-5.5,30,5.4,"11520"
940.9,682,-1.3,-5.2,31,5.2,"11520"
940.4,686,-1.3,-5.1,32,5.2,"11520"
939.9,691,-1.4,-5.3,33,5.1,"11520"
939.3,696,-1.4,-5.5,35,5.1,"11520"
938.7,701,-1.4,-5.5,37,5.1,"11520"
938.1,706,-1.5,-5.4,38,4.9,"11520"
937.5,711,-1.5,-5.4,40,4.9,"11520"
936.8,717,-1.6,-5.4,42,4.9,"11520"
936.2,722,-1.7,-5.4,44,4.7,"11520"
935.5,728,-1.7,-5.3,46,4.7,"11520"
934.8,734,-1.8,-5.3,48,4.7,"11520"
