Pressure,Altitude,Temperature,Dew_point,Wind_direction,Wind_speed,WMO_ID,n,m
990.2,215,27.3,20.2,60,3.9,11747,1,1
989.4,222,26.2,19.5,72,3.1,11747,2,2
988.3,232,25.9,19.4,72,3.3,11747,3,3
987,244,25.8,19.3,71,3.7,11747,4,4
985.9,254,25.7,19.3,70,3.9,11747,5,5
984.7,264,25.6,19.3,70,4.1,11747,6,6
983.5,275,25.5,19.2,70,4.3,11747,7,7
982.4,285,25.4,19.4,70,4.3,11747,8,8
981.2,296,25.3,19.3,70,4.3,11747,9,9
980,306,25.2,19.2,71,4.1,11747,10,0
978.9,317,25.1,19.1,73,4.1,11747,11,1
977.8,326,25,19.1,75,3.9,11747,12,2
976.8,335,24.9,19.1,79,3.7,11747,13,3
975.8,345,24.9,19,83,3.5,11747,14,4
974.7,355,24.8,19,89,3.3,11747,15,5
973.5,365,24.7,19,95,3.1,11747,16,6
972.4,375,24.7,19,102,3.1,11747,17,7
971.3,385,24.6,19.1,109,3.1,11747,18,8
970.2,395,24.5,19,116,3.1,11747,19,9
969.1,405,24.4,19,122,3.1,11747,20,0
968,415,24.3,19.1,126,3.3,11747,21,1
966.9,424,24.2,19.2,130,3.3,11747,22,2
965.8,434,24.1,19.1,132,3.5,11747,23,3
964.7,445,24,18.9,133,3.5,11747,24,4
963.6,455,23.9,18.9,133,3.5,11747,25,5
962.5,465,23.8,18.7,132,3.5,11747,26,6
961.4,475,23.7,18.7,131,3.3,11747,27,7
960.3,485,23.6,18.9,129,3.3,11747,28,8
959.2,495,23.5,18.8,127,3.1,11747,29,9
958.1,505,23.4,18.7,125,3.1,11747,30,0
956.9,515,23.3,18.7,123,2.9,11747,31,1
955.8,526,23.2,18.6,121,2.9,11747,32,2
954.7,536,23.1,18.6,120,2.7,11747,33,3
953.6,546,23,18.7,120,2.5,11747,34,4
952.5,556,23,18.6,119,2.5,11747,35,5
951.4,566,22.8,18.7,119,2.3,11747,36,6
950.3,576,22.7,18.7,120,2.3,11747,37,7
949.2,587,22.6,18.8,120,2.1,11747,38,8
948.1,597,22.5,18.7,121,2.1,11747,39,9
947,607,22.4,18.6,121,1.9,11747,40,0
946,616,22.3,18.6,121,1.9,11747,41,1
945,626,22.2,18.7,120,1.7,11747,42,2
943.9,635,22.1,18.7,118,1.7,11747,43,3
942.9,644,22,18.7,117,1.6,11747,44,4
942,653,21.9,18.6,116,1.6,11747,45,5
940.9,663,21.9,18.6,115,1.4,11747,46,6
939.9,672,21.8,18.5,114,1.2,11747,47,7
938.9,682,21.7,18.3,115,1.2,11747,48,8
937.9,691,21.6,18.4,117,1,11747,49,9
936.8,701,21.5,18.5,120,1,11747,50,0
935.8,711,21.4,18.5,125,0.8,11747,51,1
934.7,721,21.3,18.3,131,0.8,11747,52,2
933.6,731,21.3,17.9,137,0.8,11747,53,3
932.4,742,21.3,17.9,143,0.8,11747,54,4
931.3,753,21.1,17.9,148,0.8,11747,55,5
930.2,763,21.1,17.8,151,0.8,11747,56,6
929.1,773,21,17.7,154,0.8,11747,57,7
928,783,20.9,17.8,156,0.8,11747,58,8
926.8,794,20.8,17.9,159,0.6,11747,59,9
925.6,806,20.6,18,162,0.6,11747,60,0
925,811,20.6,17.8,168,0.6,11747,61,1
924.3,818,20.5,17.6,168,0.6,11747,62,2
923,830,20.5,17.6,180,0.4,11747,63,3
921.7,842,20.4,17.5,200,0.4,11747,64,4
920.4,854,20.3,17.4,226,0.4,11747,65,5
919.1,867,20.2,17.2,248,0.6,11747,66,6
917.8,879,20.1,17.1,261,0.8,11747,67,7
916.5,891,20.1,16.9,270,1,11747,68,8
915.3,903,20,16.8,275,1.4,11747,69,9
914,915,19.9,16.7,279,1.6,11747,70,0
912.8,926,19.8,16.7,283,1.9,11747,71,1
911.5,938,19.7,16.7,285,2.1,11747,72,2
910.3,950,19.6,16.6,288,2.3,11747,73,3
909.1,961,19.5,16.6,291,2.5,11747,74,4
907.9,973,19.4,16.4,293,2.7,11747,75,5
906.7,984,19.4,15.9,295,2.9,11747,76,6
905.5,996,19.6,15.2,298,3.1,11747,77,7
904.3,1007,19.7,14.7,300,3.1,11747,78,8
