"Pressure","Altitude","Temperature","Dew_point","Wind_direction","Wind_speed","WMO_ID"
974,304,28.5,12,23,1.4,"11520"
972.5,317,27.7,11.9,28,3.3,"11520"
971.8,324,27.7,11.9,28,4.3,"11520"
971.1,330,27.6,11.9,28,4.7,"11520"
970.5,336,27.6,11.9,28,4.9,"11520"
969.8,342,27.5,11.8,28,4.9,"11520"
969.2,348,27.4,11.7,27,5.1,"11520"
968.6,353,27.4,11.6,27,5.2,"11520"
968,358,27.3,11.6,27,5.2,"11520"
967.4,364,27.3,11.6,27,5.4,"11520"
966.8,370,27.2,11.6,27,5.4,"11520"
966.1,376,27.2,11.6,27,5.4,"11520"
965.5,382,27.1,11.6,27,5.4,"11520"
964.9,387,27,11.5,27,5.4,"11520"
964.4,392,27,11.5,27,5.4,"11520"
963.8,397,26.9,11.6,27,5.4,"11520"
963.1,403,26.9,11.5,27,5.4,"11520"
962.6,408,26.8,11.5,27,5.2,"11520"
962,413,26.8,11.4,27,5.2,"11520"
961.5,418,26.7,11.4,27,5.1,"11520"
961.1,422,26.7,11.4,27,4.9,"11520"
960.6,426,26.6,11.4,28,4.9,"11520"
960,432,26.6,11.4,28,4.7,"11520"
959.4,437,26.5,11.4,28,4.5,"11520"
958.8,443,26.5,11.4,29,4.3,"11520"
958.1,449,26.4,11.4,30,4.1,"11520"
957.5,455,26.4,11.4,30,4.1,"11520"
956.8,461,26.3,11.4,31,3.9,"11520"
956.2,467,26.2,11.4,32,3.7,"11520"
955.6,473,26.2,11.4,33,3.5,"11520"
955,478,26.1,11.3,34,3.3,"11520"
954.4,484,26.1,11.3,35,3.3,"11520"
953.8,489,26,11.3,36,3.1,"11520"
953.3,494,26,11.3,37,2.9,"11520"
952.8,498,25.9,11.3,38,2.7,"11520"
952.4,502,25.9,11.3,39,2.7,"11520"
951.9,507,25.8,11.3,40,2.5,"11520"
951.3,512,25.8,11.3,42,2.3,"11520"
950.8,517,25.7,11.3,44,2.3,"11520"
950.3,522,25.7,11.3,45,2.1,"11520"
949.8,526,25.6,11.3,47,1.9,"11520"
949.3,530,25.6,11.3,49,1.9,"11520"
948.8,535,25.6,11.3,52,1.7,"11520"
948.3,540,25.5,11.3,54,1.6,"11520"
947.7,545,25.5,11.3,57,1.6,"11520"
947.2,550,25.4,11.3,61,1.4,"11520"
946.6,555,25.4,11.3,65,1.2,"11520"
946.2,560,25.3,11.2,70,1.2,"11520"
945.7,564,25.3,11.2,75,1,"11520"
945.2,568,25.2,11.2,80,1,"11520"
944.8,573,25.2,11.2,87,1,"11520"
944.3,577,25.2,11.2,93,0.8,"11520"
943.7,582,25.1,11.2,99,0.8,"11520"
943.2,587,25.1,11.2,105,0.8,"11520"
942.7,592,25,11.2,111,0.8,"11520"
942.3,596,25,11.2,115,0.8,"11520"
941.8,600,24.9,11.2,118,0.8,"11520"
941.4,604,24.9,11.2,120,0.8,"11520"
940.9,609,24.8,11.1,121,0.8,"11520"
940.4,614,24.8,11.1,121,0.8,"11520"
939.8,619,24.7,11.1,120,0.8,"11520"
939.3,623,24.7,11.1,118,0.8,"11520"
938.9,627,24.7,11.1,116,0.8,"11520"
938.5,631,24.6,11.1,112,1,"11520"
938.1,635,24.6,11.2,108,1,"11520"
937.7,639,24.5,11.2,103,1,"11520"
937.3,642,24.5,11.2,99,1,"11520"
936.9,646,24.5,11.1,95,1,"11520"
936.4,650,24.4,11.1,91,1.2,"11520"
936,655,24.4,11.1,87,1.2,"11520"
935.5,659,24.3,11.1,84,1.4,"11520"
935,664,24.3,11.1,81,1.4,"11520"
934.6,668,24.3,11.1,79,1.6,"11520"
934.1,672,24.2,11.1,77,1.6,"11520"
933.6,677,24.2,11.1,75,1.7,"11520"
933.1,681,24.1,11.1,74,1.7,"11520"
932.6,686,24.1,11.1,73,1.9,"11520"
932.2,690,24,11,73,1.9,"11520"
931.8,694,24,11,72,2.1,"11520"
931.4,697,24,11,72,2.1,"11520"
931,701,24,11,72,2.3,"11520"
930.6,705,23.9,11,73,2.3,"11520"
930.1,709,23.9,11,73,2.5,"11520"
929.7,713,23.8,11,73,2.5,"11520"
929.3,717,23.8,11,74,2.5,"11520"
928.9,721,23.7,11,74,2.7,"11520"
928.4,726,23.7,11,75,2.7,"11520"
928,730,23.7,11,76,2.7,"11520"
927.6,733,23.6,11,76,2.9,"11520"
927.2,737,23.6,11,77,2.9,"11520"
926.9,740,23.5,11,78,2.9,"11520"
926.5,744,23.5,11,79,2.9,"11520"
926,748,23.5,11,79,2.9,"11520"
925.5,753,23.4,10.9,80,2.9,"11520"
925.1,757,23.4,10.9,81,2.9,"11520"
925,758,23.4,10.9,81,2.9,"11520"
924.7,761,23.3,10.8,81,2.9,"11520"
924.3,765,23.3,10.8,82,2.9,"11520"
923.9,768,23.3,10.8,82,2.9,"11520"
923.5,772,23.2,10.8,82,2.9,"11520"
923.2,775,23.2,10.9,82,2.9,"11520"
922.9,778,23.2,10.9,82,2.9,"11520"
922.5,781,23.2,10.9,82,2.9,"11520"
922.2,784,23.1,11,82,2.9,"11520"
921.8,788,23.1,10.9,82,2.9,"11520"
921.4,792,23.1,10.9,82,2.9,"11520"
921,796,23,10.9,82,2.9,"11520"
920.6,800,23,10.8,81,2.9,"11520"
920.1,804,22.9,10.8,80,2.9,"11520"
919.8,807,22.9,10.8,80,2.9,"11520"
919.4,810,22.9,10.8,79,2.9,"11520"
919.1,814,22.9,10.8,78,3.1,"11520"
918.7,818,22.8,10.8,77,3.1,"11520"
918.2,822,22.8,10.9,77,3.1,"11520"
917.6,827,22.7,10.9,76,3.3,"11520"
917.2,832,22.7,10.8,75,3.3,"11520"
916.8,836,22.6,10.8,75,3.5,"11520"
916.4,840,22.6,10.8,74,3.5,"11520"
915.9,844,22.6,10.8,74,3.7,"11520"
915.5,848,22.5,10.8,73,3.7,"11520"
915,853,22.5,10.8,73,3.9,"11520"
914.5,858,22.4,10.8,73,4.1,"11520"
913.9,862,22.4,10.8,73,4.1,"11520"
913.4,867,22.3,10.7,73,4.3,"11520"
912.9,872,22.3,10.7,73,4.3,"11520"
912.4,877,22.3,10.7,74,4.5,"11520"
911.9,882,22.2,10.8,74,4.5,"11520"
911.4,887,22.2,10.7,75,4.7,"11520"
910.9,892,22.1,10.7,75,4.7,"11520"
910.3,897,22.1,10.7,76,4.7,"11520"
909.8,902,22,10.7,77,4.9,"11520"
909.3,907,22,10.7,78,4.9,"11520"
908.8,912,22,10.6,79,4.9,"11520"
908.2,917,21.9,10.6,80,4.9,"11520"
907.6,922,21.9,10.6,82,4.9,"11520"
907.1,928,21.8,10.6,83,5.1,"11520"
906.5,934,21.8,10.6,85,5.1,"11520"
905.9,939,21.7,10.6,87,5.1,"11520"
905.4,944,21.7,10.6,88,5.1,"11520"
904.8,950,21.6,10.6,90,5.1,"11520"
904.2,956,21.6,10.6,92,5.1,"11520"
903.6,962,21.5,10.5,93,5.1,"11520"
903,968,21.5,10.5,95,5.1,"11520"
902.4,973,21.4,10.5,97,5.1,"11520"
901.9,978,21.4,10.4,98,5.1,"11520"
901.4,982,21.3,10.4,100,5.1,"11520"
901,986,21.3,10.4,101,5.1,"11520"
900.5,991,21.3,10.4,102,5.1,"11520"
900.1,995,21.2,10.4,103,5.1,"11520"
899.7,999,21.2,10.3,104,5.1,"11520"
899.3,1003,21.2,10.3,105,5.1,"11520"
898.9,1007,21.1,10.4,106,5.1,"11520"
898.4,1011,21.1,10.5,107,5.1,"11520"
898,1016,21,10.4,107,5.1,"11520"
897.5,1020,21,10.4,107,5.1,"11520"
897,1025,20.9,10.3,107,5.1,"11520"
896.5,1030,20.9,10.3,107,5.1,"11520"
895.9,1035,20.8,10.3,107,5.1,"11520"
895.4,1040,20.8,10.3,107,4.9,"11520"
894.9,1045,20.7,10.3,106,4.9,"11520"
894.4,1050,20.7,10.4,106,4.9,"11520"
893.8,1055,20.6,10.4,105,4.9,"11520"
893.4,1060,20.6,10.3,104,4.9,"11520"
892.9,1065,20.5,10.4,104,4.9,"11520"
892.4,1069,20.5,10.4,103,4.9,"11520"
891.9,1074,20.5,10.4,102,4.9,"11520"
891.4,1079,20.4,10.4,102,4.7,"11520"
890.8,1085,20.3,10.4,101,4.7,"11520"
890.2,1090,20.3,10.3,100,4.7,"11520"
889.7,1096,20.2,10.3,100,4.7,"11520"
889.2,1100,20.2,10.3,100,4.7,"11520"
888.8,1105,20.1,10.2,99,4.5,"11520"
888.3,1109,20.1,10.3,99,4.5,"11520"
887.9,1113,20.1,10.3,99,4.5,"11520"
887.5,1117,20,10.2,99,4.5,"11520"
887,1122,20,10.3,99,4.3,"11520"
886.5,1127,19.9,10.3,99,4.3,"11520"
886,1131,19.9,10.3,100,4.3,"11520"
885.5,1136,19.8,10.3,100,4.1,"11520"
885,1142,19.8,10.3,101,4.1,"11520"
884.5,1146,19.8,10.2,102,4.1,"11520"
884,1150,19.7,10.2,103,4.1,"11520"
883.7,1154,19.7,10.2,104,3.9,"11520"
883.3,1158,19.6,10.2,105,3.9,"11520"
882.9,1162,19.6,10.2,107,3.9,"11520"
882.5,1166,19.5,10.3,108,3.9,"11520"
882,1170,19.5,10.3,110,3.9,"11520"
881.5,1175,19.4,10.3,111,3.9,"11520"
881,1180,19.4,10.3,112,3.9,"11520"
880.6,1184,19.3,10.2,114,3.9,"11520"
880.1,1189,19.3,10.1,115,4.1,"11520"
879.7,1193,19.3,10.1,116,4.1,"11520"
879.2,1198,19.2,10.1,117,4.1,"11520"
878.7,1202,19.2,10.1,118,4.3,"11520"
878.2,1207,19.2,10.1,119,4.3,"11520"
877.8,1212,19.1,10.1,120,4.5,"11520"
877.3,1217,19.1,10.1,121,4.5,"11520"
876.8,1221,19,10.1,121,4.7,"11520"
876.4,1226,19,10.2,122,4.9,"11520"
875.9,1230,18.9,10.2,122,4.9,"11520"
875.5,1235,18.9,10.1,122,5.1,"11520"
875,1239,18.8,10.1,122,5.1,"11520"
874.5,1244,18.8,10.1,122,5.2,"11520"
874,1249,18.7,10,122,5.2,"11520"
873.4,1254,18.7,10.1,122,5.4,"11520"
872.9,1260,18.7,10.1,122,5.4,"11520"
872.3,1266,18.6,10.1,122,5.6,"11520"
871.7,1271,18.6,10.1,122,5.6,"11520"
871.3,1276,18.5,10.1,121,5.6,"11520"
870.8,1280,18.5,10.1,121,5.6,"11520"
870.4,1284,18.4,10.1,121,5.6,"11520"
869.9,1289,18.4,10.1,121,5.6,"11520"
869.4,1294,18.3,10.1,121,5.6,"11520"
868.8,1300,18.3,10,121,5.6,"11520"
868.2,1306,18.2,10,120,5.6,"11520"
867.6,1311,18.2,10,121,5.6,"11520"
867.1,1317,18.1,9.9,121,5.4,"11520"
866.5,1322,18.1,9.9,121,5.4,"11520"
866,1328,18,10,121,5.4,"11520"
865.4,1334,17.9,10,121,5.2,"11520"
864.8,1340,17.9,10,122,5.2,"11520"
864.2,1346,17.8,10,122,5.1,"11520"
863.6,1351,17.7,10,123,5.1,"11520"
863,1357,17.7,10,124,4.9,"11520"
862.4,1363,17.6,10,125,4.9,"11520"
861.9,1368,17.6,9.9,126,4.7,"11520"
861.3,1374,17.5,9.9,128,4.5,"11520"
860.7,1380,17.5,9.9,129,4.5,"11520"
860.1,1386,17.4,9.9,130,4.3,"11520"
859.5,1392,17.4,9.9,132,4.3,"11520"
858.9,1398,17.3,9.9,134,4.1,"11520"
858.4,1404,17.2,9.9,135,3.9,"11520"
857.8,1409,17.2,9.9,137,3.9,"11520"
857.3,1414,17.1,9.9,139,3.7,"11520"
856.7,1420,17.1,9.8,141,3.7,"11520"
856.1,1426,17,9.8,143,3.5,"11520"
855.5,1432,16.9,9.8,145,3.3,"11520"
854.9,1438,16.9,9.8,147,3.3,"11520"
854.3,1444,16.8,9.7,148,3.1,"11520"
853.7,1450,16.7,9.8,150,3.1,"11520"
853.1,1456,16.7,9.8,151,2.9,"11520"
852.5,1462,16.7,9.8,152,2.9,"11520"
851.9,1468,16.6,9.8,153,2.7,"11520"
851.4,1474,16.6,9.8,154,2.5,"11520"
850.8,1479,16.5,9.8,155,2.5,"11520"
850.3,1484,16.5,9.7,155,2.3,"11520"
850,1487,16.4,9.7,155,2.3,"11520"
849.8,1489,16.4,9.7,155,2.3,"11520"
849.2,1494,16.3,9.8,155,2.1,"11520"
848.7,1500,16.3,9.8,155,2.1,"11520"
