Pressure,Altitude,Temperature,Dew_point,Wind_direction,Wind_speed,WMO_ID,n,m
990.2,215,27.3,20.2,60,3.9,11747,1,1
984.7,264,25.6,19.3,70,4.1,11747,2,2
978.9,317,25.1,19.1,73,4.1,11747,3,3
973.5,365,24.7,19,95,3.1,11747,4,4
968,415,24.3,19.1,126,3.3,11747,5,0
962.5,465,23.8,18.7,132,3.5,11747,6,1
956.9,515,23.3,18.7,123,2.9,11747,7,2
951.4,566,22.8,18.7,119,2.3,11747,8,3
946,616,22.3,18.6,121,1.9,11747,9,4
940.9,663,21.9,18.6,115,1.4,11747,10,0
935.8,711,21.4,18.5,125,0.8,11747,11,1
930.2,763,21.1,17.8,151,0.8,11747,12,2
925,811,20.6,17.8,168,0.6,11747,13,3
919.1,867,20.2,17.2,248,0.6,11747,14,4
912.8,926,19.8,16.7,283,1.9,11747,15,0
906.7,984,19.4,15.9,295,2.9,11747,16,1
900.7,1041,20.1,14,304,2.9,11747,17,2
894.7,1099,19.9,13.1,289,1.6,11747,18,3
889,1154,19.5,13.2,204,1.7,11747,19,4
883.3,1209,18.9,13.6,195,3.9,11747,20,0
878.7,1255,18.5,13.6,202,5.2,11747,21,1
872.6,1314,18.2,13.6,209,6.8,11747,22,2
866.5,1374,17.7,13.5,206,7.4,11747,23,3
860.5,1435,17.3,13.2,201,7.8,11747,24,4
854.8,1491,16.8,12.8,203,7.8,11747,25,0
850,1539,16.4,12.7,207,8.4,11747,26,1
844.9,1590,16.1,12.2,209,8.7,11747,27,2
838.8,1652,15.7,11.5,209,8.7,11747,28,3
832.4,1718,15.3,11.2,209,8.7,11747,29,4
826,1782,14.7,10.7,210,10.3,11747,30,0
819.9,1845,14.5,10.1,213,12.4,11747,31,1
813.2,1915,14,9.4,217,14.8,11747,32,2
806.9,1981,13.5,9.1,218,17.5,11747,33,3
800.7,2045,13.4,7.7,216,21,11747,34,4
795.7,2099,13.4,6.3,213,24.1,11747,35,0
789.8,2161,13.9,1.4,211,27.4,11747,36,1
784.1,2222,13.9,-0.9,212,29.4,11747,37,2
778.2,2286,13.5,-1.5,213,29.9,11747,38,3
772.6,2346,12.9,-1.7,213,30.5,11747,39,4
767.4,2403,12.4,-2.5,213,31.7,11747,40,0
761.7,2466,12.4,-4.9,213,33,11747,41,1
756.1,2527,12,-5.5,214,33,11747,42,2
750.3,2591,11.4,-6,215,32.7,11747,43,3
744.7,2655,10.8,-5.5,214,32.9,11747,44,4
